paper_id	design_category	publication_year	xml_doi	title	release_observation_rows	safety_rows	safety_short_canonical_sequences	activity_rows	paired_activity_safety_paper_sequence_keys	censored_or_inequality_safety_rows	open_rework_ticket_count
doi__10.1021_acsomega.3c07455	explicit_rational_or_de_novo_design	2024	10.1021/acsomega.3c07455	Anti-Staphy Peptides Rationally Designed from Cry10Aa Bacterial Protein	84	7	0	77	0	0	0
doi__10.1021_acsomega.4c01577	analogue_or_optimization_candidate	2024	10.1021/acsomega.4c01577	Rapid Membrane-Penetrating Hybrid Peptides Achieve Efficient Dual Antimicrobial and Antibiofilm Activity through a Triple Bactericidal Mechanism	121	5	4	108	4	3	0
doi__10.1021_acsomega.5c07214	analogue_or_optimization_candidate	2025	10.1021/acsomega.5c07214	Truncated and Disubstituted (P4K and L7R) Oncocin Peptides Target the Ribosome with Improved Antibacterial Activity	19	0	0	7	0	0	0
doi__10.1021_acsomega.9b02201	explicit_rational_or_de_novo_design	2019	10.1021/acsomega.9b02201	Design of a Helical-Stabilized, Cyclic, and Nontoxic Analogue of the Peptide Cm-p5 with Improved Antifungal Activity	106	3	0	103	0	0	0
doi__10.1038_s41467-023-36994-z	generative_or_ml_design	2023	10.1038/s41467-023-36994-z	Discovering highly potent antimicrobial peptides with deep generative model HydrAMP	363	31	0	332	0	22	0
doi__10.1038_s41467-023-42434-9	generative_or_ml_design	2023	10.1038/s41467-023-42434-9	Cell-free biosynthesis combined with deep learning accelerates de novo-development of antimicrobial peptides	88	44	22	44	22	19	0
doi__10.1038_s41467-025-64378-y	generative_or_ml_design	2025	10.1038/s41467-025-64378-y	DLFea4AMPGen de novo design of antimicrobial peptides by integrating features learned from deep learning models	24	2	2	4	2	0	0
doi__10.1038_s41538-021-00109-z	explicit_rational_or_de_novo_design	2021	10.1038/s41538-021-00109-z	Rational design of hyperstable antibacterial peptides for food preservation	88	0	0	88	0	0	0
doi__10.1038_s41598-018-19434-7	analogue_or_optimization_candidate	2018	10.1038/s41598-018-19434-7	Mechanisms driving the antibacterial and antibiofilm properties of Hp1404 and its analogue peptides against multidrug-resistant Pseudomonas aeruginosa	281	11	0	270	0	0	0
doi__10.1038_s41598-018-29566-5	explicit_rational_or_de_novo_design	2018	10.1038/s41598-018-29566-5	Novel 3D Structure Based Model for Activity Prediction and Design of Antimicrobial Peptides	48	0	0	48	0	0	0
doi__10.1038_s41598-018-32981-3	explicit_rational_or_de_novo_design	2018	10.1038/s41598-018-32981-3	An engineered arginine-rich α-helical antimicrobial peptide exhibits broad-spectrum bactericidal activity against pathogenic bacteria and reduces bacterial infections in mice	26	5	4	1	1	0	0
doi__10.1038_s41598-018-34684-1	explicit_rational_or_de_novo_design	2018	10.1038/s41598-018-34684-1	Design of a novel cell-permeable chimeric peptide to promote wound healing	15	3	3	10	3	0	0
doi__10.1038_s41598-019-39042-3	analogue_or_optimization_candidate	2019	10.1038/s41598-019-39042-3	Characterization, mechanism of action and optimization of activity of a novel peptide-peptoid hybrid against bacterial pathogens involved in canine skin infections	182	29	0	123	0	10	0
doi__10.1038_s41598-019-42440-2	analogue_or_optimization_candidate	2019	10.1038/s41598-019-42440-2	Comparative mode of action of the antimicrobial peptide melimine and its derivative Mel4 against Pseudomonas aeruginosa	20	0	0	16	0	0	0
doi__10.1038_s41598-019-47568-9	explicit_rational_or_de_novo_design	2019	10.1038/s41598-019-47568-9	In silico design and optimization of selective membranolytic anticancer peptides	175	31	31	117	31	21	0
doi__10.1038_s41598-020-65688-5	explicit_rational_or_de_novo_design	2020	10.1038/s41598-020-65688-5	A novel, rationally designed, hybrid antimicrobial peptide, inspired by cathelicidin and aurein, exhibits membrane-active mechanisms against Pseudomonas aeruginosa	244	15	0	227	0	4	0
doi__10.1038_s41598-021-89485-w	analogue_or_optimization_candidate	2021	10.1038/s41598-021-89485-w	Structure and antimicrobial activity of NCR169, a nodule-specific cysteine-rich peptide of Medicago truncatula	24	0	0	0	0	0	0
doi__10.1038_s41598-022-08247-4	analogue_or_optimization_candidate	2022	10.1038/s41598-022-08247-4	A novel hybrid peptide composed of LfcinB6 and KR-12-a4 with enhanced antimicrobial, anti-inflammatory and anti-biofilm activities	106	4	0	94	0	3	0
doi__10.1038_s41598-022-16303-2	explicit_rational_or_de_novo_design	2022	10.1038/s41598-022-16303-2	Design, characterization and structure-function analysis of novel antimicrobial peptides based on the N-terminal CATH-2 fragment	18	4	0	12	0	0	0
doi__10.1038_s41598-024-52721-0	explicit_rational_or_de_novo_design	2024	10.1038/s41598-024-52721-0	Design of a novel analogue peptide with potent antibiofilm activities against Staphylococcus aureus based upon a sapecin B-derived peptide	114	5	0	72	0	0	0
doi__10.1038_s41598-024-67777-1	explicit_rational_or_de_novo_design	2024	10.1038/s41598-024-67777-1	Discovery and engineering of a novel peptide, Temporin-WY2, with enhanced in vitro and in vivo efficacy against multi-drug resistant bacteria	391	4	0	363	0	0	0
doi__10.1038_s41598-025-18026-6	explicit_rational_or_de_novo_design	2025	10.1038/s41598-025-18026-6	Study on the design, synthesis and activity of MDM2/MDMX anti-tumor stapled peptide PROTAC	8	0	0	8	0	0	0
doi__10.1038_s42003-023-05560-0	explicit_rational_or_de_novo_design	2023	10.1038/s42003-023-05560-0	Design and evaluation of tadpole-like conformational antimicrobial peptides	24	0	0	24	0	0	0
doi__10.1038_srep09761	explicit_rational_or_de_novo_design	2015	10.1038/srep09761	In vitro properties of designed antimicrobial peptides that exhibit potent antipneumococcal activity and produces synergism in combination with penicillin	195	12	0	123	0	10	0
doi__10.1038_srep20823	analogue_or_optimization_candidate	2016	10.1038/srep20823	PFR peptide, one of the antimicrobial peptides identified from the derivatives of lactoferrin, induces necrosis in leukemia cells	19	2	0	15	0	0	0
doi__10.1038_srep24000	analogue_or_optimization_candidate	2016	10.1038/srep24000	The rational search for selective anticancer derivatives of the peptide Trichogin GA IV: a multi-technique biophysical approach	42	0	0	28	0	0	0
doi__10.1038_srep27394	explicit_rational_or_de_novo_design	2016	10.1038/srep27394	Design of an α-helical antimicrobial peptide with improved cell-selective and potent anti-biofilm activity	109	26	0	80	0	0	0
doi__10.1039_c7sc01599b	explicit_rational_or_de_novo_design	2017	10.1039/c7sc01599b	Design, crystal structure and atomic force microscopy study of thioether ligated d,l-cyclic antimicrobial peptides against multidrug resistant Pseudomonas aeruginosa † †Electronic supplementary information (ESI) available: Compounds analytical data, crystallographic table and data, details of AFM, and list of structures as SMILES. See DOI: 10.1039/c7sc01599b Click here for additional data file.	112	23	0	89	0	3	0
doi__10.1039_c8cc05790g	explicit_rational_or_de_novo_design	2018	10.1039/c8cc05790g	Rational design of new cyclic analogues of the antimicrobial lipopeptide tridecaptin A1†	28	0	0	28	0	0	0
doi__10.1039_c8ra08065h	explicit_rational_or_de_novo_design	2018	10.1039/c8ra08065h	Design and characterization of chionodracine-derived antimicrobial peptides with enhanced activity against drug-resistant human pathogens	140	0	0	56	0	0	0
doi__10.1039_d1sc01713f	generative_or_ml_design	2021	10.1039/d1sc01713f	Machine learning designs non-hemolytic antimicrobial peptides†	166	28	0	138	0	19	0
doi__10.1039_d3ra02473c	explicit_rational_or_de_novo_design	2023	10.1039/d3ra02473c	Design, synthesis, and characterization of non-hemolytic antimicrobial peptides related to human cathelicidin LL-37†	26	2	0	12	0	0	0
doi__10.1039_d3ra04100j	explicit_rational_or_de_novo_design	2023	10.1039/d3ra04100j	A novel series of dipeptide derivatives containing indole-3-carboxylic acid conjugates as potential antimicrobial agents: the design, solid phase peptide synthesis, in vitro biological evaluation, and molecular docking study†	66	0	0	66	0	0	0
doi__10.1080_19490976.2025.2523811	generative_or_ml_design	2025	10.1080/19490976.2025.2523811	BroadAMP-GPT: AI-Driven generation of broad-spectrum antimicrobial peptides for combating multidrug-resistant ESKAPE pathogens	107	6	2	101	2	0	0
doi__10.1080_22221751.2021.1937329	explicit_rational_or_de_novo_design	2021	10.1080/22221751.2021.1937329	Structure-based design and characterization of novel fusion-inhibitory lipopeptides against SARS-CoV-2 and emerging variants	94	6	0	0	0	0	0
doi__10.1093_bib_bbag115	generative_or_ml_design	2026	10.1093/bib/bbag115	Biochemical-knowledge-driven machine learning pipeline for generating potent antimicrobial peptides	55	1	0	12	0	1	0
doi__10.1097_md.0000000000012832	analogue_or_optimization_candidate	2018	10.1097/MD.0000000000012832	A bovine myeloid antimicrobial peptide (BMAP-28) and its analogs kill pan-drug-resistant Acinetobacter baumannii by interacting with outer membrane protein A (OmpA)	61	0	0	60	0	0	0
doi__10.1098_rsos.201822	analogue_or_optimization_candidate	2021	10.1098/rsos.201822	Synthesis of cyclotetrapeptide analogues of c-PLAI and evaluation of their antimicrobial properties	72	0	0	72	0	0	0
doi__10.1111_cbdd.70193	explicit_rational_or_de_novo_design	2025	10.1111/cbdd.70193	Design of Hybrid Bioactive Peptides Derived From Cecropin and Cathepsin for Therapeutic Application	9	0	0	9	0	0	0
doi__10.1126_sciadv.aax1946	explicit_rational_or_de_novo_design	2019	10.1126/sciadv.aax1946	Ω76: A designed antimicrobial peptide to combat carbapenem- and tigecycline-resistant Acinetobacter baumannii	46	0	0	46	0	0	0
doi__10.1126_sciadv.adp7171	generative_or_ml_design	2025	10.1126/sciadv.adp7171	Artificial intelligence using a latent diffusion model enables the generation of diverse and potent antimicrobial peptides	428	0	0	408	0	0	0
doi__10.1126_science.abd9909	explicit_rational_or_de_novo_design	2020	10.1126/science.abd9909	De novo design of picomolar SARS-CoV-2 miniprotein inhibitors	4	0	0	0	0	0	0
doi__10.1128_aac.02241-16	analogue_or_optimization_candidate	2017	10.1128/AAC.02241-16	A Short Double-Stapled Peptide Inhibits Respiratory Syncytial Virus Entry and Spreading	32	2	0	0	0	0	0
doi__10.1128_aac.02690-18	explicit_rational_or_de_novo_design	2019	10.1128/AAC.02690-18	Designed Antimicrobial Peptides for Recurrent Vulvovaginal Candidiasis Treatment	80	0	0	60	0	0	0
doi__10.1128_msystems.01358-23	analogue_or_optimization_candidate	2024	10.1128/msystems.01358-23	PyAMPA: a high-throughput prediction and optimization tool for antimicrobial peptides	45	5	0	40	0	0	0
doi__10.1128_spectrum.01827-23	analogue_or_optimization_candidate	2024	10.1128/spectrum.01827-23	Novel antimicrobial peptides identified in legume plant, Medicago truncatula	60	8	0	44	0	0	0
doi__10.1128_spectrum.03853-22	explicit_rational_or_de_novo_design	2023	10.1128/spectrum.03853-22	Rational Design of Stapled Antimicrobial Peptides to Enhance Stability and In Vivo Potency against Polymicrobial Sepsis	444	6	0	430	0	5	0
doi__10.1155_2012_764834	explicit_rational_or_de_novo_design	2012	10.1155/2012/764834	The Design and Construction of K11: A Novel α-Helical Antimicrobial Peptide	63	16	0	47	0	12	0
doi__10.1155_2015_578764	explicit_rational_or_de_novo_design	2015	10.1155/2015/578764	Design and Synthesis of a Novel Cationic Peptide with Potent and Broad-Spectrum Antimicrobial Activity	43	1	0	42	0	1	0
doi__10.1155_2020_2131535	explicit_rational_or_de_novo_design	2020	10.1155/2020/2131535	Antibacterial Activity of Rationally Designed Antimicrobial Peptides	24	2	2	22	2	0	0
doi__10.1186_1475-2867-5-21	analogue_or_optimization_candidate	2005	10.1186/1475-2867-5-21	Functional and structural characteristics of anticancer peptide Pep27 analogues	79	49	0	30	0	0	0
doi__10.1186_1476-0711-10-11	analogue_or_optimization_candidate	2011	10.1186/1476-0711-10-11	Generation of novel cationic antimicrobial peptides from natural non-antimicrobial sequences by acid-amide substitution	71	7	0	64	0	0	0
doi__10.1186_s12915-022-01304-4	analogue_or_optimization_candidate	2022	10.1186/s12915-022-01304-4	Optimization of the antimicrobial peptide Bac7 by deep mutational scanning	20	4	0	12	0	0	0
doi__10.1186_s13568-016-0295-8	analogue_or_optimization_candidate	2016	10.1186/s13568-016-0295-8	Antimicrobial activity and stability of the d-amino acid substituted derivatives of antimicrobial peptide polybia-MPI	81	3	0	78	0	0	0
doi__10.1186_s13568-019-0739-z	explicit_rational_or_de_novo_design	2019	10.1186/s13568-019-0739-z	Design and activity study of a melittin-thanatin hybrid peptide	10	1	0	8	0	1	0
doi__10.1186_s13568-019-0843-0	analogue_or_optimization_candidate	2019	10.1186/s13568-019-0843-0	Mechanism of action of antimicrobial peptide P5 truncations against Pseudomonas aeruginosa and Staphylococcus aureus	180	5	0	174	0	0	0
doi__10.1186_s40409-016-0070-y	analogue_or_optimization_candidate	2016	10.1186/s40409-016-0070-y	Synthesis and antimicrobial evaluation of two peptide LyeTx I derivatives modified with the chelating agent HYNIC for radiolabeling with technetium-99m	6	0	0	6	0	0	0
doi__10.1371_journal.pcbi.1004074	generative_or_ml_design	2015	10.1371/journal.pcbi.1004074	Machine Learning Assisted Design of Highly Active Peptides for Drug Discovery	14	0	0	14	0	0	0
doi__10.1371_journal.pntd.0000721	explicit_rational_or_de_novo_design	2010	10.1371/journal.pntd.0000721	Structural Optimization and De Novo Design of Dengue Virus Entry Inhibitory Peptides	8	2	0	0	0	0	0
doi__10.1371_journal.pone.0012684	analogue_or_optimization_candidate	2010	10.1371/journal.pone.0012684	Serum Stabilities of Short Tryptophan- and Arginine-Rich Antimicrobial Peptide Analogs	71	16	3	0	0	0	0
doi__10.1371_journal.pone.0017898	analogue_or_optimization_candidate	2011	10.1371/journal.pone.0017898	mRNA Display Selection of an Optimized MDM2-Binding Peptide That Potently Inhibits MDM2-p53 Interaction	15	0	0	0	0	0	0
doi__10.1371_journal.pone.0033639	analogue_or_optimization_candidate	2012	10.1371/journal.pone.0033639	Evaluation of an Antimicrobial L-Amino Acid Oxidase and Peptide Derivatives from Bothropoides mattogrosensis Pitviper Venom	90	18	0	72	0	0	0
doi__10.1371_journal.pone.0034947	analogue_or_optimization_candidate	2012	10.1371/journal.pone.0034947	Anti-HIV-1 Activity of a New Scorpion Venom Peptide Derivative Kn2-7	10	0	0	0	0	0	0
doi__10.1371_journal.pone.0040135	analogue_or_optimization_candidate	2012	10.1371/journal.pone.0040135	Antibacterial Activity and Mechanism of a Scorpion Venom Peptide Derivative In Vitro and In Vivo	57	2	0	55	0	0	0
doi__10.1371_journal.pone.0047047	analogue_or_optimization_candidate	2012	10.1371/journal.pone.0047047	Structural and Functional Characterization of a Multifunctional Alanine-Rich Peptide Analogue from Pleuronectes americanus	13	2	0	5	0	0	0
doi__10.1371_journal.pone.0061614	analogue_or_optimization_candidate	2013	10.1371/journal.pone.0061614	Novel α-MSH Peptide Analogues with Broad Spectrum Antimicrobial Activity	294	42	0	210	0	0	0
doi__10.1371_journal.pone.0071687	explicit_rational_or_de_novo_design	2013	10.1371/journal.pone.0071687	De-Novo Design of Antimicrobial Peptides for Plant Protection	600	70	0	530	0	25	0
doi__10.1371_journal.pone.0080025	explicit_rational_or_de_novo_design	2013	10.1371/journal.pone.0080025	De Novo Design and Synthesis of Ultra-Short Peptidomimetic Antibiotics Having Dual Antimicrobial and Anti-Inflammatory Activities	73	10	0	63	0	5	0
doi__10.1371_journal.pone.0085515	analogue_or_optimization_candidate	2013	10.1371/journal.pone.0085515	Derivatives of the Antimicrobial Peptide BP100 for Expression in Plant Systems	258	129	0	129	0	0	0
doi__10.1371_journal.pone.0150196	analogue_or_optimization_candidate	2016	10.1371/journal.pone.0150196	Antifungal Activity and Action Mechanism of Histatin 5-Halocidin Hybrid Peptides against Candida ssp	133	17	0	116	0	5	0
doi__10.1371_journal.pone.0162007	analogue_or_optimization_candidate	2016	10.1371/journal.pone.0162007	Specific Anti-Leukemic Activity of the Peptide Warnericin RK and Analogues and Visualization of Their Effect on Cancer Cells by Chemical Raman Imaging	17	3	3	0	0	0	0
doi__10.1371_journal.pone.0212447	explicit_rational_or_de_novo_design	2019	10.1371/journal.pone.0212447	Design, antimicrobial activity and mechanism of action of Arg-rich ultra-short cationic lipopeptides	198	8	0	190	0	1	0
doi__10.1371_journal.pone.0218479	analogue_or_optimization_candidate	2019	10.1371/journal.pone.0218479	A scorpion venom peptide derivative BmKn‒22 with potent antibiofilm activity against Pseudomonas aeruginosa	50	14	7	0	0	0	0
doi__10.2144_fsoa-2022-0013	analogue_or_optimization_candidate	2022	10.2144/fsoa-2022-0013	Optimized peptide extraction method for analysis of antimicrobial peptide Kn2-7/dKn2-7 stability in human serum by LC-MS	10	0	0	0	0	0	0
doi__10.2147_idr.s195872	analogue_or_optimization_candidate	2019	10.2147/IDR.S195872	Substitution of lysine for isoleucine at the center of the nonpolar face of the antimicrobial peptide, piscidin-1, leads to an increase in the rapidity of bactericidal activity and a reduction in toxicity	141	0	0	30	0	0	0
doi__10.2147_idr.s199473	explicit_rational_or_de_novo_design	2019	10.2147/IDR.S199473	Design and characterization of a new hybrid peptide from LL-37 and BMAP-27	59	2	0	40	0	2	0
doi__10.3389_fchem.2017.00001	analogue_or_optimization_candidate	2017	10.3389/fchem.2017.00001	The Effect of Selective D- or Nα-Methyl Arginine Substitution on the Activity of the Proline-Rich Antimicrobial Peptide, Chex1-Arg20	24	16	0	8	0	16	0
doi__10.3389_fchem.2017.00024	analogue_or_optimization_candidate	2017	10.3389/fchem.2017.00024	Analogs of the Frog-skin Antimicrobial Peptide Temporin 1Tb Exhibit a Wider Spectrum of Activity and a Stronger Antibiofilm Potential as Compared to the Parental Peptide	47	4	0	23	0	2	0
doi__10.3389_fchem.2018.00359	analogue_or_optimization_candidate	2018	10.3389/fchem.2018.00359	Advantage of a Narrow Spectrum Host Defense (Antimicrobial) Peptide Over a Broad Spectrum Analog in Preclinical Drug Development	12	0	0	12	0	0	0
doi__10.3389_fchem.2020.616147	explicit_rational_or_de_novo_design	2020	10.3389/fchem.2020.616147	Design, Synthesis, and Antitumor Activities Study of Stapled A4K14-Citropin 1.1 Peptides	32	0	0	32	0	0	0
doi__10.3389_fchem.2022.840131	explicit_rational_or_de_novo_design	2022	10.3389/fchem.2022.840131	Design, Synthesis, and Antitumor Activity Study of All-Hydrocarbon-Stapled B1-Leu Peptides	36	9	0	9	0	9	0
doi__10.3389_fchem.2025.1579097	explicit_rational_or_de_novo_design	2025	10.3389/fchem.2025.1579097	Engineering of antimicrobial peptide Brevinin-1pl: arginine, lysine, and histidine substitutions enhance antimicrobial-anticancer efficacy with reduced cytotoxicity	90	0	0	80	0	0	0
doi__10.3389_fcimb.2019.00419	analogue_or_optimization_candidate	2019	10.3389/fcimb.2019.00419	Antifungal Activity, Toxicity, and Membranolytic Action of a Mastoparan Analog Peptide	18	0	0	6	0	0	0
doi__10.3389_fcimb.2022.928220	analogue_or_optimization_candidate	2022	10.3389/fcimb.2022.928220	A truncated peptide Spgillcin177-189 derived from mud crab Scylla paramamosain exerting multiple antibacterial activities	41	2	0	36	0	0	0
doi__10.3389_fimmu.2022.851642	analogue_or_optimization_candidate	2022	10.3389/fimmu.2022.851642	Bomidin: An Optimized Antimicrobial Peptide With Broad Antiviral Activity Against Enveloped Viruses	26	2	0	19	0	0	0
doi__10.3389_fmicb.2017.00544	analogue_or_optimization_candidate	2017	10.3389/fmicb.2017.00544	The Naturally Occurring Host Defense Peptide, LL-37, and Its Truncated Mimetics KE-18 and KR-12 Have Selected Biocidal and Antibiofilm Activities Against Candida albicans, Staphylococcus aureus, and Escherichia coli In vitro	12	3	0	9	0	0	0
doi__10.3389_fmicb.2018.00329	explicit_rational_or_de_novo_design	2018	10.3389/fmicb.2018.00329	Design, Synthesis and Evaluation of Branched RRWQWR-Based Peptides as Antibacterial Agents Against Clinically Relevant Gram-Positive and Gram-Negative Pathogens	210	0	0	200	0	0	0
doi__10.3389_fmicb.2020.00270	analogue_or_optimization_candidate	2020	10.3389/fmicb.2020.00270	Potent Chimeric Antimicrobial Derivatives of the Medicago truncatula NCR247 Symbiotic Peptide	186	0	0	186	0	0	0
doi__10.3389_fmicb.2020.563030	analogue_or_optimization_candidate	2020	10.3389/fmicb.2020.563030	D- and Unnatural Amino Acid Substituted Antimicrobial Peptides With Improved Proteolytic Resistance and Their Proteolytic Degradation Characteristics	176	48	5	112	5	0	0
doi__10.3389_fmicb.2021.708904	analogue_or_optimization_candidate	2021	10.3389/fmicb.2021.708904	Novel Cyclic Lipopeptides Fusaricidin Analogs for Treating Wound Infections	6	0	0	6	0	0	0
doi__10.3389_fmicb.2021.715246	explicit_rational_or_de_novo_design	2021	10.3389/fmicb.2021.715246	Ab initio Designed Antimicrobial Peptides Against Gram-Negative Bacteria	70	10	0	44	0	0	0
doi__10.3389_fmicb.2021.773076	analogue_or_optimization_candidate	2021	10.3389/fmicb.2021.773076	Improving the Activity of Antimicrobial Peptides Against Aquatic Pathogen Bacteria by Amino Acid Substitutions and Changing the Ratio of Hydrophobic Residues	63	4	0	39	0	0	0
doi__10.3389_fmicb.2022.1029366	explicit_rational_or_de_novo_design	2022	10.3389/fmicb.2022.1029366	A designed antimicrobial peptide with potential ability against methicillin resistant Staphylococcus aureus	17	3	0	13	0	1	0
doi__10.3389_fmicb.2022.864374	analogue_or_optimization_candidate	2022	10.3389/fmicb.2022.864374	Optimization of Antibacterial Activity in Tibetan Swine α-Helix Peptide TP by Site-Directed Mutagenesis	292	21	21	271	21	16	0
doi__10.3389_fphar.2021.769739	explicit_rational_or_de_novo_design	2021	10.3389/fphar.2021.769739	Rational Designed Hybrid Peptides Show up to a 6-Fold Increase in Antimicrobial Activity and Demonstrate Different Ultrastructural Changes as the Parental Peptides Measured by BioSAXS	52	12	0	40	0	8	0
doi__10.3389_fphar.2024.1487338	analogue_or_optimization_candidate	2024	10.3389/fphar.2024.1487338	Thanatin and vinyl sulfide analogues as narrow spectrum antimicrobial peptides that synergise with polymyxin B	43	0	0	43	0	0	0
doi__10.3389_fpls.2021.753217	explicit_rational_or_de_novo_design	2021	10.3389/fpls.2021.753217	De Novo Design of Antimicrobial Peptides With a Special Charge Pattern and Their Application in Combating Plant Pathogens	167	0	0	142	0	0	0
doi__10.3390_antibiotics10060712	explicit_rational_or_de_novo_design	2021	10.3390/antibiotics10060712	The Design of Alapropoginine, a Novel Conjugated Ultrashort Antimicrobial Peptide with Potent Synergistic Antimicrobial Activity in Combination with Conventional Antibiotics	111	7	0	104	0	0	0
