paper_id	database	error_type	db_peptide	db_organism	db_endpoint	db_value	source_table	source_row	source_col	source_value	reason
doi__10.1038_s41467-020-16950-x	DBAASP	value_mismatch	Arenicin-3 [V6,8A;Y9K;V13L], NZ17126	Klebsiella pneumoniae ATCC BAA-2146	MIC	16	2	NZ17126	K. pneumoniae BAA-2146 (NDM-1) / MIC	1	Source Table 2 shows NZ17126 MIC=1 µg/mL vs K. pneumoniae BAA-2146; DB claims 16—a 16-fold discrepancy not explained by normalization.
doi__10.1038_s41598-017-16784-6	dbAMP	value_mismatch		Staphylococcus aureus 547582	MIC	8 μM	3	S. aureus 547582	Minimum inhibitory concentration (μg/mL) / Macropin / Gram positive	4.43	DB claims S.aureus 547582 MIC=8μM; Table 3 shows 4.43 μg/mL (~3.13μM converted, MW=1416.89). 8μM irreconcilable. P.aeruginosa 3320 similarly: DB 8μM vs source 4
doi__10.1038_s41598-022-16303-2	DBAASP	endpoint_mismatch		Human erythrocytes	50% Hemolysis	145	2	DP2 (LLR)	HC50 in μg/mL	145	HC50=145 exists in source for DP2 (LLR) but measured against murine RBCs (table caption explicit); DB attributes value to human erythrocytes — different test or
doi__10.1038_s41598-022-16303-2	DBAASP	endpoint_mismatch		Human erythrocytes	50% Hemolysis	24.62	2	DP3 (L3)	HC50 in μg/mL	24.62	HC50=24.62 exists in source for DP3 (L3) but measured against murine RBCs (table caption explicit); DB attributes value to human erythrocytes — different test o
doi__10.1038_srep24000	DRAMP	value_mismatch	[TOAC1, Lys6] TG	T67 tumor cells	EC50	4 μM (T67), 2 μM (HeLa), 5 μM (HDF)	1	[TOAC1, Lys6] TG	EC50b (μM)	1	Source Table 1 gives [TOAC1,Lys6] TG EC50(T67)=1, EC50(HeLa)=3, EC50(HDF)=5. DB claims T67=4, HeLa=2, which are [Lys6] TG values; cross-variant swap with assert
doi__10.1038_srep24000	DRAMP	value_mismatch	[Arg2] TG	HeLa tumor cells	EC50	9 μM	1	[Arg2] TG	EC50b (μM)	4	Source Table 1 gives [Arg2] TG EC50(HeLa)=4; DB claims 9. T67=8 and HDF=8 are correct. EC50(HeLa)=9 belongs to [TOAC1,Arg2] TG in Table 1.
doi__10.1038_srep24000	DRAMP	value_mismatch	[TOAC1, Arg2] TG	HeLa tumor cells	EC50	4 μM	1	[TOAC1, Arg2] TG	EC50b (μM)	9	Source Table 1 gives [TOAC1,Arg2] TG EC50(HeLa)=9; DB claims 4. T67=8 and HDF=15 are correct. EC50(HeLa)=4 belongs to [Arg2] TG; cross-swap with assertion 2.
doi__10.1038_srep24000	DRAMP	value_mismatch	[TOAC1, Api4] TG	T67 tumor cells	EC50	13 μM (T67)	1	[TOAC1, Api4] TG	EC50b (μM)	8	Source Table 1 gives [TOAC1,Api4] TG EC50(T67)=8; DB claims 13. HeLa and HDF n.t. are correct. T67=13 belongs to [Api8] TG in Table 1.
doi__10.1042_bsr20180710	DRAMP	value_mismatch		P. aeruginosa ATCC 27853 (and others)	MIC/MBC	P. aeruginosa MIC= μM, MBC= μM (blank); others as R2PLx-22	2	P. aeruginosa (ATCC 27853)	MIC/MBC (µM) / R2PLx-22	>512/>512	DB records P. aeruginosa MIC/MBC as blank ('= μM'); Table 2 R2PLx-22 shows >512/>512. All other five organisms' values correctly match R2PLx-22.
doi__10.1042_bsr20180710	DRAMP	value_mismatch		P. aeruginosa ATCC 27853 (and others)	MIC/MBC	P. aeruginosa MIC= μM, MBC= μM (blank); others as R2PLx-22	2	P. aeruginosa (ATCC 27853)	MIC/MBC (µM) / R2PLx-22	>512/>512	DB records P. aeruginosa MIC/MBC as blank ('= μM'); Table 2 R2PLx-22 shows >512/>512. All other five organisms' values correctly match R2PLx-22.
doi__10.1042_bsr20180710	DRAMP	value_mismatch		P. aeruginosa ATCC 27853 (and others)	MIC/MBC	P. aeruginosa MIC blank, others as R2PLx-22 (µ encoded as ¦ÌM)	2	P. aeruginosa (ATCC 27853)	MIC/MBC (µM) / R2PLx-22	>512/>512	DB records P. aeruginosa MIC/MBC as blank ('= ¦ÌM'); Table 2 R2PLx-22 shows >512/>512. µ encoding also corrupted. Identical error pattern to assertions 2/4/6/10
doi__10.1042_bsr20180710	DRAMP	value_mismatch		P. aeruginosa ATCC 27853 (and others)	MIC/MBC	P. aeruginosa MIC= μM, MBC= μM (blank); others as R2PLx-22	2	P. aeruginosa (ATCC 27853)	MIC/MBC (µM) / R2PLx-22	>512/>512	DB records P. aeruginosa MIC/MBC as blank ('= μM'); Table 2 R2PLx-22 shows >512/>512. All other five organisms' values correctly match R2PLx-22.
doi__10.1042_bsr20180710	CAMP	value_mismatch		C. albicans NCTC 1467	MIC	256 μM	2	C. albicans (NCTC 1467)	MIC/MBC (µM) / R2PLx-22	512/>512	S. aureus MIC=256 and E. coli MIC=128 uniquely match R2PLx-22 in Table 2; for that peptide C. albicans MIC=512, not 256 as DB claims. MIC=256 for C. albicans be
doi__10.1186_s40409-017-0130-y	dbAMP	value_mismatch	xylopin	Klebsiella pneumoniae (CS)	MIC	3.75μM	7	Klebsiella pneumoniae (CS)	MIC (μM) / Gram-positive	7.5	DB claims MIC=3.75μM for Klebsiella pneumoniae; Table 7 shows 7.5μM. Other ATCC-strain values match Table 7. NBRC-strain entries and Leishmania IC50 are not in 
