rank,severity,paper_id,database,source_id,status,conflict_categories,conflict_summary,source_table,artifact_path
11,A,doi__10.1007_s00726-018-2575-x,CAMP,CAMPSQ16591,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,conflict: CAMP row is a broad qualitative activity annotation with a species-list spelling discrepancy and no quantitative table values; primary sequence and broad antibacterial scope are source-backed.,camp_r4_export/data/sequences.csv,papers/doi__10.1007_s00726-018-2575-x/final/database_record_verification.json
12,A,doi__10.1007_s00726-018-2575-x,CAMP,CAMPSQ16592,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,conflict: CAMP row is a broad qualitative activity annotation with a species-list spelling discrepancy and no quantitative table values; primary sequence and broad antibacterial scope are source-backed.,camp_r4_export/data/sequences.csv,papers/doi__10.1007_s00726-018-2575-x/final/database_record_verification.json
13,A,doi__10.1007_s00726-018-2575-x,CAMP,CAMPSQ16593,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,conflict: CAMP row is a broad qualitative activity annotation with a species-list spelling discrepancy and no quantitative table values; primary sequence and broad antibacterial scope are source-backed.,camp_r4_export/data/sequences.csv,papers/doi__10.1007_s00726-018-2575-x/final/database_record_verification.json
14,A,doi__10.1007_s00726-018-2575-x,CAMP,CAMPSQ16594,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,conflict: CAMP row is a broad qualitative activity annotation with a species-list spelling discrepancy and no quantitative table values; primary sequence and broad antibacterial scope are source-backed.,camp_r4_export/data/sequences.csv,papers/doi__10.1007_s00726-018-2575-x/final/database_record_verification.json
15,A,doi__10.1007_s10526-022-10132-y,DBAASP,DBAASPR_11558,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Database target spelling has Fusarium boothii, while the primary Table 1 row in local XML/PDF is Fusarium boothi; value and strain otherwise match, so the spelling discrepancy is preserved as source_conflict.",linked_assay_records.jsonl,papers/doi__10.1007_s10526-022-10132-y/final/database_record_verification.json
16,A,doi__10.1007_s10526-022-10132-y,DBAASP,DBAASPS_22245,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Database target spelling has Fusarium boothii, while the primary Table 1 row in local XML/PDF is Fusarium boothi; value and strain otherwise match, so the spelling discrepancy is preserved as source_conflict.",linked_assay_records.jsonl,papers/doi__10.1007_s10526-022-10132-y/final/database_record_verification.json
17,A,doi__10.1016_j.antiviral.2022.105270,DBAASP,DBAASP:DBAASPN_21372,sequence_modified_not_normalized,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Activity value is primary-source supported, but exact plitidepsin sequence/noncanonical modification identity is not embedded in this current primary article; preserve as sequence_modified_not_normalized instead of source_verified.",linked_assay_records.jsonl,papers/doi__10.1016_j.antiviral.2022.105270/final/database_record_verification.json
18,A,doi__10.1016_j.btre.2020.e00583,DBAASP,DBAASP:DBAASPS_17528,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Database target label uses Salmonella typhimurium ATCC 19430, while the primary paper methods and tables identify the tested strain as Salmonella enterica subsp. enterica serovar Typhi / S. typhi ATCC 19430.",linked_assay_records.jsonl,papers/doi__10.1016_j.btre.2020.e00583/final/database_record_verification.json
19,A,doi__10.1016_j.btre.2020.e00583,DBAASP,DBAASP:DBAASPS_17529,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Database target label uses Salmonella typhimurium ATCC 19430, while the primary paper methods and tables identify the tested strain as Salmonella enterica subsp. enterica serovar Typhi / S. typhi ATCC 19430.",linked_assay_records.jsonl,papers/doi__10.1016_j.btre.2020.e00583/final/database_record_verification.json
20,A,doi__10.1016_j.btre.2020.e00583,DBAASP,DBAASP:DBAASPS_17530,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Database target label uses Salmonella typhimurium ATCC 19430, while the primary paper methods and tables identify the tested strain as Salmonella enterica subsp. enterica serovar Typhi / S. typhi ATCC 19430.",linked_assay_records.jsonl,papers/doi__10.1016_j.btre.2020.e00583/final/database_record_verification.json
21,A,doi__10.1016_j.btre.2020.e00583,DBAASP,DBAASP:DBAASPS_17531,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Database target label uses Salmonella typhimurium ATCC 19430, while the primary paper methods and tables identify the tested strain as Salmonella enterica subsp. enterica serovar Typhi / S. typhi ATCC 19430.",linked_assay_records.jsonl,papers/doi__10.1016_j.btre.2020.e00583/final/database_record_verification.json
22,A,doi__10.1016_j.csbj.2021.08.039,DBAASP,DBAASP:DBAASPR_21300,source_conflict,organism_or_subject_conflict,source_conflict: Database subject is underspecified relative to multiple MRSA strain rows in the primary tables.,linked_assay_records.jsonl,papers/doi__10.1016_j.csbj.2021.08.039/final/database_record_verification.json
23,A,doi__10.1016_j.csbj.2021.08.039,DBAASP,DBAASP:DBAASPS_21301,source_conflict,sequence_or_modification_conflict;organism_or_subject_conflict,source_conflict: Database subject is underspecified relative to multiple MRSA strain rows in the primary tables.,linked_assay_records.jsonl,papers/doi__10.1016_j.csbj.2021.08.039/final/database_record_verification.json
24,A,doi__10.1016_j.csbj.2021.08.039,DBAASP,DBAASP:DBAASPS_21302,source_conflict,sequence_or_modification_conflict;organism_or_subject_conflict,source_conflict: Database subject is underspecified relative to multiple MRSA strain rows in the primary tables.,linked_assay_records.jsonl,papers/doi__10.1016_j.csbj.2021.08.039/final/database_record_verification.json
25,A,doi__10.1016_j.csbj.2021.08.039,DBAASP,DBAASP:DBAASPS_21303,source_conflict,sequence_or_modification_conflict;organism_or_subject_conflict,source_conflict: Database subject is underspecified relative to multiple MRSA strain rows in the primary tables.,linked_assay_records.jsonl,papers/doi__10.1016_j.csbj.2021.08.039/final/database_record_verification.json
26,A,doi__10.1016_j.csbj.2021.08.039,DBAASP,DBAASP:DBAASPS_21304,source_conflict,sequence_or_modification_conflict;organism_or_subject_conflict,source_conflict: Database subject is underspecified relative to multiple MRSA strain rows in the primary tables.,linked_assay_records.jsonl,papers/doi__10.1016_j.csbj.2021.08.039/final/database_record_verification.json
27,A,doi__10.1016_j.fob.2014.01.007,DRAMP,DRAMP:DRAMP35189,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Table 1 verifies b-WT1-pTj identity and modifications, but local primary material does not support the DRAMP antimicrobial label or a separate anticancer activity result for the biotinylated probe.",linked_dramp_activity_records.jsonl,papers/doi__10.1016_j.fob.2014.01.007/final/database_record_verification.json
28,A,doi__10.1021_acs.biochem.0c00565,CAMP,CAMP:CAMPSQ23095,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict,Source conflict: CAMP aggregate row contains database activity annotations not supported by this paper-local Table 1/source text (for example cancer-cell or non-Table-1 strain annotations); paper-supported MIC subset is preserved separately in activity rows.,camp_r4_export/data/sequences.csv,papers/doi__10.1021_acs.biochem.0c00565/final/database_record_verification.json
29,A,doi__10.1021_acs.biochem.0c00565,CAMP,CAMP:CAMPSQ23101,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict,Source conflict: CAMP aggregate row contains database activity annotations not supported by this paper-local Table 1/source text (for example cancer-cell or non-Table-1 strain annotations); paper-supported MIC subset is preserved separately in activity rows.,camp_r4_export/data/sequences.csv,papers/doi__10.1021_acs.biochem.0c00565/final/database_record_verification.json
30,A,doi__10.1021_acs.jmedchem.2c00270,DBAASP,DBAASP:DBAASPS_2330,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,Preserved source_conflict: local XML/PDF/supplement text supports antibiofilm activity but does not expose the exact database MBEC50/27% value as a recoverable primary table value.,linked_assay_records.jsonl,papers/doi__10.1021_acs.jmedchem.2c00270/final/database_record_verification.json
31,A,doi__10.1021_acs.jmedchem.2c00270,DBAASP,DBAASP:DBAASPS_2331,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,Preserved source_conflict: local XML/PDF/supplement text supports antibiofilm activity but does not expose the exact database MBEC50/27% value as a recoverable primary table value.,linked_assay_records.jsonl,papers/doi__10.1021_acs.jmedchem.2c00270/final/database_record_verification.json
32,A,doi__10.1021_acs.jmedchem.2c00270,DBAASP,DBAASP:DBAASPS_257,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,Preserved source_conflict: local XML/PDF/supplement text supports antibiofilm activity but does not expose the exact database MBEC50/27% value as a recoverable primary table value.,linked_assay_records.jsonl,papers/doi__10.1021_acs.jmedchem.2c00270/final/database_record_verification.json
33,A,doi__10.1021_acs.jmedchem.2c00270,DRAMP,DRAMP:DRAMP34306,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Preserved source_conflict: DRAMP sequence/modification/citation map to Amp1D, but the database activity label includes Anticancer and lacks a target organism, neither of which is supported by this primary paper.",linked_dramp_activity_records.jsonl,papers/doi__10.1021_acs.jmedchem.2c00270/final/database_record_verification.json
34,A,doi__10.1021_acsinfecdis.4c00130,DBAASP,DBAASPS_1023,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Linked DBAASP row uses Pseudomonas aeruginosa ATCC 27853, while the primary Table 2 row for the same value/peptide reports P. aeruginosa ATCC 25853. The value is preserved but the strain conflict is not normalized.",linked_assay_records.jsonl,papers/doi__10.1021_acsinfecdis.4c00130/final/database_record_verification.json
35,A,doi__10.1021_acsinfecdis.4c00130,DBAASP,DBAASPS_22393,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Linked DBAASP row uses Pseudomonas aeruginosa ATCC 27853, while the primary Table 2 row for the same value/peptide reports P. aeruginosa ATCC 25853. The value is preserved but the strain conflict is not normalized.",linked_assay_records.jsonl,papers/doi__10.1021_acsinfecdis.4c00130/final/database_record_verification.json
36,A,doi__10.1021_acsinfecdis.4c00130,DBAASP,DBAASPS_22394,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Linked DBAASP row uses Pseudomonas aeruginosa ATCC 27853, while the primary Table 2 row for the same value/peptide reports P. aeruginosa ATCC 25853. The value is preserved but the strain conflict is not normalized.",linked_assay_records.jsonl,papers/doi__10.1021_acsinfecdis.4c00130/final/database_record_verification.json
37,A,doi__10.1021_acsinfecdis.4c00130,DBAASP,DBAASPS_22395,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Linked DBAASP row uses Pseudomonas aeruginosa ATCC 27853, while the primary Table 2 row for the same value/peptide reports P. aeruginosa ATCC 25853. The value is preserved but the strain conflict is not normalized.",linked_assay_records.jsonl,papers/doi__10.1021_acsinfecdis.4c00130/final/database_record_verification.json
38,A,doi__10.1021_acsomega.0c00189,DBAASP,DBAASPS_15628,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,source_conflict: database subject says Citrobacter freundii while notes point to Klebsiella pneumoniae isolates,linked_assay_records.jsonl,papers/doi__10.1021_acsomega.0c00189/final/database_record_verification.json
39,A,doi__10.1021_acsomega.2c01089,DBAASP,DBAASP:DBAASPS_19299,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,source_conflict: database row repeats/mislabels the not-active target organism relative to the Table 1 salt-condition matrix; the conflict is preserved instead of normalized.,linked_assay_records.jsonl,papers/doi__10.1021_acsomega.2c01089/final/database_record_verification.json
40,A,doi__10.1021_acsomega.2c01089,DBAASP,DBAASP:DBAASPS_19300,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,source_conflict: database row repeats/mislabels the not-active target organism relative to the Table 1 salt-condition matrix; the conflict is preserved instead of normalized.,linked_assay_records.jsonl,papers/doi__10.1021_acsomega.2c01089/final/database_record_verification.json
41,A,doi__10.1021_acsomega.4c01577,DBAASP,DBAASP:DBAASPS_22585,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Figure 3/result/discussion text supports a group-level >80% biofilm inhibition claim at 48 ug/mL, but local XML/PDF text does not support every DBAASP exact per-peptide antibiofilm value; exact bar-chart values are preserved as database conflicts rather than fabricated as primary rows.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.4c01577/final/database_record_verification.json
42,A,doi__10.1021_acsomega.4c01577,DBAASP,DBAASP:DBAASPS_22586,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Figure 3/result/discussion text supports a group-level >80% biofilm inhibition claim at 48 ug/mL, but local XML/PDF text does not support every DBAASP exact per-peptide antibiofilm value; exact bar-chart values are preserved as database conflicts rather than fabricated as primary rows.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.4c01577/final/database_record_verification.json
43,A,doi__10.1021_acsomega.4c01577,DBAASP,DBAASP:DBAASPS_22586,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Figure 10/result text supports S-4/L-4/P-4 hemolysis within 4% at 48 ug/mL, but does not support the database exact 0% value.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.4c01577/final/database_record_verification.json
44,A,doi__10.1021_acsomega.4c01577,DBAASP,DBAASP:DBAASPS_22587,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Figure 3/result/discussion text supports a group-level >80% biofilm inhibition claim at 48 ug/mL, but local XML/PDF text does not support every DBAASP exact per-peptide antibiofilm value; exact bar-chart values are preserved as database conflicts rather than fabricated as primary rows.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.4c01577/final/database_record_verification.json
45,A,doi__10.1021_acsomega.4c01577,DBAASP,DBAASP:DBAASPS_22587,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Figure 10/result text supports S-4/L-4/P-4 hemolysis within 4% at 48 ug/mL, but does not support the database exact 0% value.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.4c01577/final/database_record_verification.json
46,A,doi__10.1021_acsomega.5c07214,DBAASP,DBAASP:DBAASPS_24614,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Table 1 verifies the sequence and MIC value, but the broth microdilution method specifies E. coli MRE600 while the linked DBAASP row records Escherichia coli DH5alpha. The target strain conflict is preserved instead of promoting the full row to source_verified.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.5c07214/final/database_record_verification.json
47,A,doi__10.1021_acsomega.5c07214,DBAASP,DBAASP:DBAASPS_24615,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Table 1 verifies the sequence and MIC value, but the broth microdilution method specifies E. coli MRE600 while the linked DBAASP row records Escherichia coli DH5alpha. The target strain conflict is preserved instead of promoting the full row to source_verified.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.5c07214/final/database_record_verification.json
48,A,doi__10.1021_acsomega.5c07214,DBAASP,DBAASP:DBAASPS_24616,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Table 1 verifies the sequence and MIC value, but the broth microdilution method specifies E. coli MRE600 while the linked DBAASP row records Escherichia coli DH5alpha. The target strain conflict is preserved instead of promoting the full row to source_verified.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.5c07214/final/database_record_verification.json
49,A,doi__10.1021_acsomega.5c07214,DBAASP,DBAASP:DBAASPS_24617,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Primary Table 1 verifies the sequence and MIC value, but the broth microdilution method specifies E. coli MRE600 while the linked DBAASP row records Escherichia coli DH5alpha. The target strain conflict is preserved instead of promoting the full row to source_verified.",linked_assay_records.jsonl,papers/doi__10.1021_acsomega.5c07214/final/database_record_verification.json
50,A,doi__10.1021_acssynbio.3c00612,APD6,AP04005,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,source_conflict: APD6 comment abbreviates/misprints the nisin-comparison substitution as K2I while primary text states Lys12Ile.,linked_experiment_records.jsonl,papers/doi__10.1021_acssynbio.3c00612/final/database_record_verification.json
51,A,doi__10.1021_acssynbio.3c00612,APD6,AP04006,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only;missing_material_or_supplement_gap,"source_conflict: APD6 comment says I15 to K, while primary text/figure define the bioengineered derivative as I12K/rombocin K.",linked_experiment_records.jsonl,papers/doi__10.1021_acssynbio.3c00612/final/database_record_verification.json
52,A,doi__10.1038_s41538-021-00109-z,DBAASP,DBAASPS_18104,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: Primary text supports qualitative/threshold Fig. 10 safety conclusions, but this database row encodes an exact percent-killing/hemolysis value not tabulated in local XML/PDF text.",linked_assay_records.jsonl,papers/doi__10.1038_s41538-021-00109-z/final/database_record_verification.json
53,A,doi__10.1038_s41538-021-00109-z,DBAASP,DBAASPS_18105,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: Primary text supports qualitative/threshold Fig. 10 safety conclusions, but this database row encodes an exact percent-killing/hemolysis value not tabulated in local XML/PDF text.",linked_assay_records.jsonl,papers/doi__10.1038_s41538-021-00109-z/final/database_record_verification.json
54,A,doi__10.1038_s41538-021-00109-z,DBAASP,DBAASPS_18106,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,Source conflict: Linked database row was not uniquely matched to a primary-source table value after worker-4 source review.,linked_assay_records.jsonl,papers/doi__10.1038_s41538-021-00109-z/final/database_record_verification.json
55,A,doi__10.1038_s41538-021-00109-z,DBAASP,DBAASPS_18108,source_conflict,activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,Source conflict: Linked database row was not uniquely matched to a primary-source table value after worker-4 source review.,linked_assay_records.jsonl,papers/doi__10.1038_s41538-021-00109-z/final/database_record_verification.json
56,A,doi__10.1038_s41538-021-00109-z,DBAASP,DBAASPS_18110,source_conflict,figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"Source conflict: Primary text supports qualitative/threshold Fig. 10 safety conclusions, but this database row encodes an exact percent-killing/hemolysis value not tabulated in local XML/PDF text.",linked_assay_records.jsonl,papers/doi__10.1038_s41538-021-00109-z/final/database_record_verification.json
57,A,doi__10.1038_s41598-017-10492-x,CAMP,CAMP:CAMPSQ14231,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,Preserved source conflict: database_target_strain_h3n3_conflicts_with_primary_h3n2,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-017-10492-x/final/database_record_verification.json
58,A,doi__10.1038_s41598-017-10492-x,CAMP,CAMP:CAMPSQ14232,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,Preserved source conflict: database_target_strain_h3n3_conflicts_with_primary_h3n2,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-017-10492-x/final/database_record_verification.json
59,A,doi__10.1038_s41598-017-10492-x,CAMP,CAMP:CAMPSQ14234,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,Preserved source conflict: database_target_strain_h3n3_conflicts_with_primary_h3n2; database_a_parma_h1n1_standard_error_conflicts_with_primary_table3,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-017-10492-x/final/database_record_verification.json
60,A,doi__10.1038_s41598-017-10492-x,CAMP,CAMP:CAMPSQ14235,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,Preserved source conflict: database_target_strain_h3n3_conflicts_with_primary_h3n2,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-017-10492-x/final/database_record_verification.json
61,A,doi__10.1038_s41598-017-10492-x,CAMP,CAMP:CAMPSQ14236,source_conflict,sequence_or_modification_conflict;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,Preserved source conflict: database_target_strain_h3n3_conflicts_with_primary_h3n2; database_aroma_h1n1_standard_error_conflicts_with_primary_table3,linked_experiment_records.jsonl,papers/doi__10.1038_s41598-017-10492-x/final/database_record_verification.json
62,A,doi__10.1038_s41598-017-11396-6,CAMP,CAMP:CAMPSQ12477,source_conflict,other_source_conflict,Source conflict preserved: Database entry mixes primary-paper antifungal targets with viral targets that are not supported by this local primary article; verified antifungal rows remain captured separately from XML Table 2.,camp_r4_export/data/sequences.csv,papers/doi__10.1038_s41598-017-11396-6/final/database_record_verification.json
63,A,doi__10.1038_s41598-017-11832-7,DBAASP,DBAASP:DBAASPS_10753,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"source_conflict: local Figure 1 supports the hemolysis trend, but the exact database percentage for this peptide is not present as machine-readable primary text; value is preserved as database-only/figure-only caution.",linked_assay_records.jsonl,papers/doi__10.1038_s41598-017-11832-7/final/database_record_verification.json
64,A,doi__10.1038_s41598-017-11832-7,DBAASP,DBAASP:DBAASPS_10754,source_conflict,sequence_or_modification_conflict;figure_or_non_tabulated_quantification;activity_value_or_unit_conflict;organism_or_subject_conflict;citation_or_linkage_only,"source_conflict: local Figure 1 supports the hemolysis trend, but the exact database percentage for this peptide is not present as machine-readable primary text; value is preserved as database-only/figure-only caution.",linked_assay_records.jsonl,papers/doi__10.1038_s41598-017-11832-7/final/database_record_verification.json
