paper_id,review_status,publication_grade,source_reviewed,database_audit_records,activity_records,mechanism_claims,triage_class,target_queue,recommended_next_action,failure_codes,rework_request_codes,rework_request_count,packet_material_staging_status,packet_material_staging_generated_at,packet_material_change_at,packet_material_changed,packet_locator_index_repair_at,packet_locator_index_repair_count,packet_material_staged_asset_count,packet_material_staged_text_record_count,packet_material_staged_table_count,bounded_rework_result_status,bounded_rework_result_updated_at,material_staging_newer_than_bounded_rework,review_report,quality_feedback
doi__10.1016_j.virusres.2006.03.001,needs_targeted_rework,False,True,94,0,2,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-01T18:28:36Z,false,papers/doi__10.1016_j.virusres.2006.03.001/final/review_report.json,papers/doi__10.1016_j.virusres.2006.03.001/work/review/quality_feedback.json
doi__10.1016_s0140-6736(04)15788-7,needs_targeted_rework,False,True,21,0,2,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-02T00:55:15Z,false,papers/doi__10.1016_s0140-6736(04)15788-7/final/review_report.json,papers/doi__10.1016_s0140-6736(04)15788-7/work/review/quality_feedback.json
doi__10.1021_acs.jmedchem.2c01469,needs_targeted_rework,False,True,427,453,3,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",codex_worker_timeout;database_conflicts_require_adjudication;full_source_review_not_completed,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-02T10:16:51Z,false,papers/doi__10.1021_acs.jmedchem.2c01469/final/review_report.json,papers/doi__10.1021_acs.jmedchem.2c01469/work/review/quality_feedback.json
doi__10.1038_s41467-024-51933-2,needs_targeted_rework,False,True,385,160,3,figure_exact_value_or_digitization_needed,manual_digitization_or_keep_backlog,Owner-worker already exhausted the current packet; use validated manual digitization or keep conflict/unresolved.,database_mutation_descriptor_sequence_conflicts_preserved;obtainable_only_source_gap_documented;supplementary_source_data_not_locally_landed,full_source_review_not_completed;supplementary_source_data_not_locally_landed,2,,,,,,,,,,blocked_after_best_effort,2026-05-03T04:33:11Z,false,papers/doi__10.1038_s41467-024-51933-2/final/review_report.json,papers/doi__10.1038_s41467-024-51933-2/work/review/quality_feedback.json
doi__10.1038_s42003-022-03899-4,needs_targeted_rework,False,True,324,165,3,figure_exact_value_or_digitization_needed,manual_digitization_or_keep_backlog,Owner-worker already exhausted the current packet; use validated manual digitization or keep conflict/unresolved.,obtainable_only_source_gap_documented;publication_grade_blocked_by_unresolved_database_only_rows;raw_value_matches_not_promoted_without_entity_target_alignment;strict_alignment_no_promotions_supported,full_source_review_not_completed;local_supplement_assets_html_only,2,material_staged,2026-06-21T01:52:10Z,,false,,,4,4,5,blocked_after_best_effort,2026-06-21T16:18:51Z,false,papers/doi__10.1038_s42003-022-03899-4/final/review_report.json,papers/doi__10.1038_s42003-022-03899-4/work/review/quality_feedback.json
doi__10.1128_mbio.01935-20,needs_targeted_rework,False,True,131,13,3,figure_exact_value_or_digitization_needed,manual_digitization_or_keep_backlog,Owner-worker already exhausted the current packet; use validated manual digitization or keep conflict/unresolved.,database_cytotoxicity_rows_remain_source_conflict;obtainable_only_source_gap_documented;open_fig_s1_exact_value_rework_ticket;owner_worker_publication_quality_gate_failed;owner_worker_semantic_gate_failed;supplementary_fig_s1_graph_exact_cytotoxicity_values_not_table_supported,figure_only_exact_database_values_not_machine_recoverable;full_source_review_not_completed;supplementary_fig_s1_graph_exact_cytotoxicity_values_not_table_supported,3,material_staged,2026-06-21T01:52:10Z,,false,,,2,2,0,blocked_after_best_effort,2026-06-21T14:47:18Z,false,papers/doi__10.1128_mbio.01935-20/final/review_report.json,papers/doi__10.1128_mbio.01935-20/work/review/quality_feedback.json
doi__10.1128_mbio.02451-20,needs_targeted_rework,False,True,83,10,1,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",codex_worker_nonzero_exit;database_conflicts_require_adjudication;full_source_review_not_completed;obtainable_only_source_gap_documented,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-05T16:13:03Z,false,papers/doi__10.1128_mbio.02451-20/final/review_report.json,papers/doi__10.1128_mbio.02451-20/work/review/quality_feedback.json
doi__10.1128_spectrum.02013-21,needs_targeted_rework,False,True,94,48,3,figure_exact_value_or_digitization_needed,manual_digitization_or_keep_backlog,Owner-worker already exhausted the current packet; use validated manual digitization or keep conflict/unresolved.,database_activity_scope_conflict_unresolved;figure_only_toxicity_exact_values_unrecoverable;obtainable_only_source_gap_documented,figure_only_toxicity_exact_values_unrecoverable,1,,,,,,,,,,blocked_after_best_effort,2026-05-03T18:02:33Z,false,papers/doi__10.1128_spectrum.02013-21/final/review_report.json,papers/doi__10.1128_spectrum.02013-21/work/review/quality_feedback.json
doi__10.1186_s12866-016-0799-z,needs_targeted_rework,False,True,120,100,3,figure_exact_value_or_digitization_needed,manual_digitization_or_keep_backlog,Owner-worker already exhausted the current packet; use validated manual digitization or keep conflict/unresolved.,figure8_exact_a549_percent_values_unrecoverable;final_adjudication_blocked_by_unrecoverable_database_cytotoxicity_gap;obtainable_only_source_gap_documented;worker4_database_reconciliation_completed_with_preserved_source_conflicts;worker6_source_review_completed,figure8_exact_a549_percent_values_unrecoverable;full_source_review_not_completed,3,,,,,,,,,,blocked_after_best_effort,2026-05-03T07:21:43Z,false,papers/doi__10.1186_s12866-016-0799-z/final/review_report.json,papers/doi__10.1186_s12866-016-0799-z/work/review/quality_feedback.json
doi__10.1371_journal.pone.0080050,needs_targeted_rework,False,True,3,0,3,missing_supplement_or_unparsed_table,source_staging,Owner-worker already exhausted current material; recover and parse named supplement/table before another review.,database_only_activity_not_primary_source_verified;missing_activity_records;no_source_supported_amp_activity_rows;obtainable_only_source_gap_documented;publication_grade_blocked_by_activity_primary_source_gap;publication_grade_not_true;review_status_not_publication_grade,full_source_review_not_completed,1,no_new_material_staged,2026-06-21T15:02:53Z,2026-06-21T14:29:59Z,false,,,0,0,0,blocked_after_best_effort,2026-06-20T17:01:33Z,true,papers/doi__10.1371_journal.pone.0080050/final/review_report.json,papers/doi__10.1371_journal.pone.0080050/work/review/quality_feedback.json
doi__10.1371_journal.pone.0100670,needs_targeted_rework,False,True,3,0,3,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",codex_worker_nonzero_exit;database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-06T00:33:24Z,false,papers/doi__10.1371_journal.pone.0100670/final/review_report.json,papers/doi__10.1371_journal.pone.0100670/work/review/quality_feedback.json
doi__10.21203_rs.3.rs-3457760_v1,needs_targeted_rework,False,True,3,0,1,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",codex_worker_nonzero_exit;database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-06T08:01:34Z,false,papers/doi__10.21203_rs.3.rs-3457760_v1/final/review_report.json,papers/doi__10.21203_rs.3.rs-3457760_v1/work/review/quality_feedback.json
doi__10.21203_rs.3.rs-3491947_v1,needs_targeted_rework,False,True,1,0,1,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",codex_worker_nonzero_exit;database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-06T09:13:35Z,false,papers/doi__10.21203_rs.3.rs-3491947_v1/final/review_report.json,papers/doi__10.21203_rs.3.rs-3491947_v1/work/review/quality_feedback.json
doi__10.3390_antibiotics8010031,needs_targeted_rework,False,True,1,0,2,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",activity_toxicity_values_not_locally_supported;obtainable_only_source_gap_documented;publication_grade_blocked_by_unrecoverable_activity_gap,activity_toxicity_values_not_locally_supported,1,,,,,,,,,,blocked_after_best_effort,2026-05-07T15:04:50Z,false,papers/doi__10.3390_antibiotics8010031/final/review_report.json,papers/doi__10.3390_antibiotics8010031/work/review/quality_feedback.json
doi__10.3390_ijms222111869,needs_targeted_rework,False,True,36,0,1,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",codex_api_or_network_error;database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-08T14:11:16Z,false,papers/doi__10.3390_ijms222111869/final/review_report.json,papers/doi__10.3390_ijms222111869/work/review/quality_feedback.json
doi__10.3390_pharmaceutics14040693,needs_targeted_rework,False,True,215,340,3,figure_exact_value_or_digitization_needed,manual_digitization_or_keep_backlog,Owner-worker already exhausted the current packet; use validated manual digitization or keep conflict/unresolved.,database_source_conflicts_preserved;obtainable_only_source_gap_documented;primary_one_letter_sequence_table_not_locally_recoverable;publication_grade_refused_due_unrecoverable_gap,full_source_review_not_completed;primary_one_letter_sequence_table_not_locally_recoverable,2,,,,,,,,,,blocked_after_best_effort,2026-05-09T17:47:35Z,false,papers/doi__10.3390_pharmaceutics14040693/final/review_report.json,papers/doi__10.3390_pharmaceutics14040693/work/review/quality_feedback.json
doi__10.3390_v11070609,needs_targeted_rework,False,True,336,0,2,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",codex_worker_nonzero_exit;database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-10T16:33:39Z,false,papers/doi__10.3390_v11070609/final/review_report.json,papers/doi__10.3390_v11070609/work/review/quality_feedback.json
doi__10.3390_v13071246,needs_targeted_rework,False,True,102,0,2,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",codex_worker_nonzero_exit;database_conflicts_require_adjudication;full_source_review_not_completed;no_supported_activity_rows_extracted,full_source_review_not_completed,1,,,,,,,,,,blocked_after_best_effort,2026-05-10T18:10:17Z,false,papers/doi__10.3390_v13071246/final/review_report.json,papers/doi__10.3390_v13071246/work/review/quality_feedback.json
doi__10.7717_peerj.10176,needs_targeted_rework,False,True,120,22,3,material_or_exact_value_unrecoverable,keep_non_publication_grade_backlog,"Owner-worker already ran after material repair and strict gates remained blocked; preserve blocker until new source, digitization, or explicit curation policy changes.",activity_table_and_supplement_rows_incomplete;mechanism_placeholders_require_source_review;obtainable_only_source_gap_documented,activity_table_and_supplement_rows_incomplete;full_source_review_not_completed;mechanism_placeholders_require_source_review,3,,,,,,,,,,blocked_after_best_effort,2026-05-10T17:38:48Z,false,papers/doi__10.7717_peerj.10176/final/review_report.json,papers/doi__10.7717_peerj.10176/work/review/quality_feedback.json
