paper_id,doi,review_status,publication_grade,source_reviewed,public_v1_included,exclusion_reason,database_audit_records,activity_records,mechanism_claims,database_final_exists,activity_final_exists,mechanism_final_exists,review_report_exists
doi__10.1007_s00438-026-02390-7,,accepted_with_cautions,True,True,True,,2,3,3,True,True,True,True
doi__10.1007_s00726-012-1388-6,10.1007/s00726-012-1388-6,accepted_with_cautions,True,True,True,,220,72,5,True,True,True,True
doi__10.1007_s00726-017-2449-7,,accepted_with_cautions,True,True,True,,26,11,3,True,True,True,True
doi__10.1007_s00726-017-2473-7,,accepted_with_cautions,True,True,True,,269,132,3,True,True,True,True
doi__10.1007_s00726-018-2575-x,,accepted_with_cautions,True,True,True,,135,63,3,True,True,True,True
doi__10.1007_s10295-013-1259-5,,accepted_with_cautions,True,True,True,,47,54,3,True,True,True,True
doi__10.1007_s10526-022-10132-y,,accepted_with_cautions,True,True,True,,64,122,2,True,True,True,True
doi__10.1007_s10989-014-9423-y,,accepted_with_cautions,True,True,True,,97,45,3,True,True,True,True
doi__10.1007_s10989-015-9494-4,,accepted_with_cautions,True,True,True,,145,72,4,True,True,True,True
doi__10.1007_s11274-016-2171-8,,accepted_with_cautions,True,True,True,,140,66,3,True,True,True,True
doi__10.1007_s12539-016-0163-x,,accepted_with_cautions,True,True,True,,73,30,2,True,True,True,True
doi__10.1007_s12602-018-9444-5,,accepted_with_cautions,True,True,True,,76,63,3,True,True,True,True
doi__10.1007_s12602-018-9501-0,,accepted_with_cautions,True,True,True,,246,312,2,True,True,True,True
doi__10.1007_s12602-022-10036-4,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,82,14,3,True,True,True,True
doi__10.1007_s12602-025-10542-1,,accepted_with_cautions,True,True,True,,341,295,4,True,True,True,True
doi__10.1007_s13238-014-0061-0,10.1007/s13238-014-0061-0,accepted_with_cautions,True,True,True,,141,90,3,True,True,True,True
doi__10.1007_s13659-014-0037-z,,accepted_with_cautions,True,True,True,,2,4,1,True,True,True,True
doi__10.1016_j.antiviral.2005.10.005,,accepted_with_cautions,True,True,True,,12,8,2,True,True,True,True
doi__10.1016_j.antiviral.2008.10.001,,accepted_with_cautions,True,True,True,,56,10,3,True,True,True,True
doi__10.1016_j.antiviral.2013.11.013,10.1016/j.antiviral.2013.11.013,accepted_with_cautions,True,True,True,,73,16,3,True,True,True,True
doi__10.1016_j.antiviral.2017.11.021,,accepted_with_cautions,True,True,True,,24,12,3,True,True,True,True
doi__10.1016_j.antiviral.2022.105270,,accepted_with_cautions,True,True,True,,16,3,3,True,True,True,True
doi__10.1016_j.apsb.2021.07.026,,accepted_with_cautions,True,True,True,,108,96,2,True,True,True,True
doi__10.1016_j.bbrc.2004.04.141,10.1016/j.bbrc.2004.04.141,accepted_with_cautions,True,True,True,,7,4,3,True,True,True,True
doi__10.1016_j.bbrc.2004.05.046,,needs_targeted_rework,False,True,False,needs_targeted_rework,15,0,1,True,True,True,True
doi__10.1016_j.bbrep.2024.101747,10.1016/j.bbrep.2024.101747,accepted_with_cautions,True,True,True,,23,9,3,True,True,True,True
doi__10.1016_j.biomaterials.2013.01.075,,accepted_with_cautions,True,True,True,,160,9,3,True,True,True,True
doi__10.1016_j.biomaterials.2013.12.049,10.1016/j.biomaterials.2013.12.049,accepted_with_cautions,True,True,True,,22,12,3,True,True,True,True
doi__10.1016_j.btre.2020.e00583,,accepted_with_cautions,True,True,True,,63,164,4,True,True,True,True
doi__10.1016_j.cell.2024.07.027,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,410,200,3,True,True,True,True
doi__10.1016_j.celrep.2020.108254,,needs_targeted_rework,False,True,False,needs_targeted_rework,15,0,3,True,True,True,True
doi__10.1016_j.celrep.2021.108959,,needs_targeted_rework,False,True,False,needs_targeted_rework,9,0,3,True,True,True,True
doi__10.1016_j.csbj.2021.08.039,,accepted_with_cautions,True,True,True,,386,340,3,True,True,True,True
doi__10.1016_j.csbj.2023.05.006,,accepted_with_cautions,True,True,True,,120,88,3,True,True,True,True
doi__10.1016_j.csbj.2023.11.031,,accepted_with_cautions,True,True,True,,412,502,3,True,True,True,True
doi__10.1016_j.csbj.2024.05.020,,accepted_with_cautions,True,True,True,,115,72,4,True,True,True,True
doi__10.1016_j.csbj.2024.09.006,10.1016/j.csbj.2024.09.006,accepted_with_cautions,True,True,True,,309,266,4,True,True,True,True
doi__10.1016_j.dib.2019.104538,,accepted_with_cautions,True,True,True,,12,5,3,True,True,True,True
doi__10.1016_j.ebiom.2020.102775,,accepted_with_cautions,True,True,True,,141,197,4,True,True,True,True
doi__10.1016_j.fob.2014.01.007,,accepted_with_cautions,True,True,True,,6,9,4,True,True,True,True
doi__10.1016_j.heliyon.2021.e07980,,accepted_with_cautions,True,True,True,,9,16,1,True,True,True,True
doi__10.1016_j.isci.2020.100999,,needs_targeted_rework,False,True,False,needs_targeted_rework,51,0,2,True,True,True,True
doi__10.1016_j.isci.2020.101785,10.1016/j.isci.2020.101785,accepted_with_cautions,True,True,True,,66,6,5,True,True,True,True
doi__10.1016_j.isci.2021.102480,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,9,17,3,True,True,True,True
doi__10.1016_j.isci.2024.110404,10.1016/j.isci.2024.110404,accepted_with_cautions,True,True,True,,4,53,4,True,True,True,True
doi__10.1016_j.isci.2025.113286,10.1016/j.isci.2025.113286,accepted_with_cautions,True,True,True,,3,35,3,True,True,True,True
doi__10.1016_j.jacbts.2020.10.003,,needs_targeted_rework,False,True,False,needs_targeted_rework,13,0,3,True,True,True,True
doi__10.1016_j.jare.2024.01.023,,accepted_with_cautions,True,True,True,,423,280,6,True,True,True,True
doi__10.1016_j.jare.2024.02.016,10.1016/j.jare.2024.02.016,accepted_with_cautions,True,True,True,,133,72,5,True,True,True,True
doi__10.1016_j.jare.2024.09.017,,accepted_with_cautions,True,True,True,,147,725,3,True,True,True,True
doi__10.1016_j.jare.2025.01.005,,accepted_with_cautions,True,True,True,,67,34,2,True,True,True,True
doi__10.1016_j.jare.2025.01.029,,accepted_with_cautions,True,True,True,,338,274,3,True,True,True,True
doi__10.1016_j.jbc.2021.100657,,accepted_with_cautions,True,True,True,,3,21,3,True,True,True,True
doi__10.1016_j.jbc.2022.101822,,accepted_with_cautions,True,True,True,,3,78,3,True,True,True,True
doi__10.1016_j.jbc.2022.102724,,accepted_with_cautions,True,True,True,,30,14,4,True,True,True,True
doi__10.1016_j.jmb.2009.10.032,,needs_targeted_rework,False,True,False,needs_targeted_rework,8,0,1,True,True,True,True
doi__10.1016_j.jsps.2023.04.001,10.1016/j.jsps.2023.04.001,accepted_with_cautions,True,True,True,,6,16,3,True,True,True,True
doi__10.1016_j.omtn.2020.05.006,,accepted_with_cautions,True,True,True,,2,12,3,True,True,True,True
doi__10.1016_j.omto.2019.12.001,10.1016/j.omto.2019.12.001,accepted_with_cautions,True,True,True,,19,16,4,True,True,True,True
doi__10.1016_j.peptides.2003.07.025,,accepted_with_cautions,True,True,True,,76,64,3,True,True,True,True
doi__10.1016_j.peptides.2008.04.022,,accepted_with_cautions,True,True,True,,41,17,2,True,True,True,True
doi__10.1016_j.peptides.2011.05.015,,accepted_with_cautions,True,True,True,,36,13,2,True,True,True,True
doi__10.1016_j.psj.2023.102695,10.1016/j.psj.2023.102695,accepted_with_cautions,True,True,True,,63,53,4,True,True,True,True
doi__10.1016_j.tibtech.2009.07.004,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,8,0,3,True,True,True,True
doi__10.1016_j.tibtech.2024.09.008,10.1016/j.tibtech.2024.09.008,accepted_with_cautions,True,True,True,,439,897,3,True,True,True,True
doi__10.1016_j.toxrep.2015.06.011,,accepted_with_cautions,True,True,True,,10,17,3,True,True,True,True
doi__10.1016_j.ultsonch.2021.105676,,accepted_with_cautions,True,True,True,,11,6,4,True,True,True,True
doi__10.1016_j.vetmic.2020.108708,,accepted_with_cautions,True,True,True,,6,30,4,True,True,True,True
doi__10.1016_j.virol.2006.01.029,,needs_targeted_rework,False,True,False,needs_targeted_rework,56,0,2,True,True,True,True
doi__10.1016_j.virol.2010.11.014,,needs_targeted_rework,False,True,False,needs_targeted_rework,12,6,3,True,True,True,True
doi__10.1016_j.virol.2017.07.033,,needs_targeted_rework,False,True,False,needs_targeted_rework,26,0,3,True,True,True,True
doi__10.1016_j.virusres.2006.03.001,,needs_targeted_rework,False,True,False,needs_targeted_rework,94,0,2,True,True,True,True
doi__10.1016_j.yjsbx.2023.100091,,accepted_with_cautions,True,True,True,,11,17,4,True,True,True,True
doi__10.1016_s0140-6736(04)15788-7,,needs_targeted_rework,False,True,False,needs_targeted_rework,21,0,2,True,True,True,True
doi__10.1017_s0031182017000506,,accepted_with_cautions,True,True,True,,5,10,3,True,True,True,True
doi__10.1021_acs.biochem.0c00565,,accepted_with_cautions,True,True,True,,328,149,3,True,True,True,True
doi__10.1021_acs.inorgchem.1c02101,,accepted_with_cautions,True,True,True,,129,135,3,True,True,True,True
doi__10.1021_acs.jafc.1c08139,,accepted_with_cautions,True,True,True,,57,76,3,True,True,True,True
doi__10.1021_acs.jafc.5c02065,,accepted_with_cautions,True,True,True,,140,73,3,True,True,True,True
doi__10.1021_acs.jmedchem.1c00477,,accepted_with_cautions,True,True,True,,64,26,3,True,True,True,True
doi__10.1021_acs.jmedchem.1c00795,,accepted_with_cautions,True,True,True,,207,130,3,True,True,True,True
doi__10.1021_acs.jmedchem.1c01033,,accepted_with_cautions,True,True,True,,266,121,4,True,True,True,True
doi__10.1021_acs.jmedchem.2c00061,,accepted_with_cautions,True,True,True,,102,38,2,True,True,True,True
doi__10.1021_acs.jmedchem.2c00270,,accepted_with_cautions,True,True,True,,24,4,3,True,True,True,True
doi__10.1021_acs.jmedchem.2c01469,,needs_targeted_rework,False,True,False,needs_targeted_rework,427,453,3,True,True,True,True
doi__10.1021_acs.jmedchem.3c00460,,accepted_with_cautions,True,True,True,,442,436,3,True,True,True,True
doi__10.1021_acs.jmedchem.4c00912,,accepted_with_cautions,True,True,True,,423,113,4,True,True,True,True
doi__10.1021_acs.jmedchem.4c01768,,accepted_with_cautions,True,True,True,,23,645,3,True,True,True,True
doi__10.1021_acs.jmedchem.5b01593,,accepted_with_cautions,True,True,True,,200,491,1,True,True,True,True
doi__10.1021_acs.jmedchem.5c01193,,accepted_with_cautions,True,True,True,,62,80,3,True,True,True,True
doi__10.1021_acs.jmedchem.7b01732,,accepted_with_cautions,True,True,True,,195,46,3,True,True,True,True
doi__10.1021_acs.jmedchem.8b00890,,accepted_with_cautions,True,True,True,,180,51,4,True,True,True,True
doi__10.1021_acs.jmedchem.9b01078,,accepted_with_cautions,True,True,True,,86,59,3,True,True,True,True
doi__10.1021_acs.jnatprod.0c01104,,accepted_with_cautions,True,True,True,,27,15,3,True,True,True,True
doi__10.1021_acs.jnatprod.2c00674,,accepted_with_cautions,True,True,True,,44,35,3,True,True,True,True
doi__10.1021_acs.jnatprod.4c00118,,accepted_with_cautions,True,True,True,,65,30,3,True,True,True,True
doi__10.1021_acs.jnatprod.4c00814,,accepted_with_cautions,True,True,True,,55,25,4,True,True,True,True
doi__10.1021_acs.joc.4c01414,,accepted_with_cautions,True,True,True,,110,75,3,True,True,True,True
doi__10.1021_acs.joc.4c02828,,accepted_with_cautions,True,True,True,,47,72,3,True,True,True,True
doi__10.1021_acs.langmuir.0c02135,,accepted_with_cautions,True,True,True,,73,27,3,True,True,True,True
doi__10.1021_acs.langmuir.2c00506,,accepted_with_cautions,True,True,True,,13,18,3,True,True,True,True
doi__10.1021_acsbiomedchemau.4c00119,,accepted_with_cautions,True,True,True,,100,63,3,True,True,True,True
doi__10.1021_acscentsci.0c01135,10.1021/acscentsci.0c01135,accepted_with_cautions,True,True,True,,52,256,4,True,True,True,True
doi__10.1021_acschembio.0c00568,,accepted_with_cautions,True,True,True,,202,122,3,True,True,True,True
doi__10.1021_acschembio.1c00641,,accepted_with_cautions,True,True,True,,442,268,2,True,True,True,True
doi__10.1021_acschembio.3c00577,,accepted_with_cautions,True,True,True,,280,26,3,True,True,True,True
doi__10.1021_acsinfecdis.2c00307,,accepted_with_cautions,True,True,True,,60,49,4,True,True,True,True
doi__10.1021_acsinfecdis.2c00456,10.1021/acsinfecdis.2c00456,accepted_with_cautions,True,True,True,,4,27,3,True,True,True,True
doi__10.1021_acsinfecdis.3c00206,,accepted_with_cautions,True,True,True,,128,96,3,True,True,True,True
doi__10.1021_acsinfecdis.3c00421,,accepted_with_cautions,True,True,True,,411,720,2,True,True,True,True
doi__10.1021_acsinfecdis.4c00130,,accepted_with_cautions,True,True,True,,66,42,4,True,True,True,True
doi__10.1021_acsinfecdis.4c00160,,accepted_with_cautions,True,True,True,,33,54,4,True,True,True,True
doi__10.1021_acsinfecdis.6b00045,10.1021/acsinfecdis.6b00045,accepted_with_cautions,True,True,True,,158,120,3,True,True,True,True
doi__10.1021_acsinfecdis.9b00157,,accepted_with_cautions,True,True,True,,140,86,4,True,True,True,True
doi__10.1021_acsomega.0c00189,,accepted_with_cautions,True,True,True,,136,99,4,True,True,True,True
doi__10.1021_acsomega.0c00442,,accepted_with_cautions,True,True,True,,98,42,3,True,True,True,True
doi__10.1021_acsomega.0c01065,,accepted_with_cautions,True,True,True,,63,28,2,True,True,True,True
doi__10.1021_acsomega.0c01462,,accepted_with_cautions,True,True,True,,32,14,3,True,True,True,True
doi__10.1021_acsomega.0c02088,10.1021/acsomega.0c02088,accepted_with_cautions,True,True,True,,40,11,3,True,True,True,True
doi__10.1021_acsomega.1c00020,,accepted_with_cautions,True,True,True,,22,16,3,True,True,True,True
doi__10.1021_acsomega.1c01854,,accepted_with_cautions,True,True,True,,448,256,2,True,True,True,True
doi__10.1021_acsomega.1c07160,,accepted_with_cautions,True,True,True,,12,12,2,True,True,True,True
doi__10.1021_acsomega.2c01089,,accepted_with_cautions,True,True,True,,103,56,3,True,True,True,True
doi__10.1021_acsomega.2c02203,,accepted_with_cautions,True,True,True,,42,6,2,True,True,True,True
doi__10.1021_acsomega.2c02778,10.1021/acsomega.2c02778,accepted_with_cautions,True,True,True,,2,12,3,True,True,True,True
doi__10.1021_acsomega.3c07455,,accepted_with_cautions,True,True,True,,175,84,3,True,True,True,True
doi__10.1021_acsomega.4c01277,,accepted_with_cautions,True,True,True,,445,195,2,True,True,True,True
doi__10.1021_acsomega.4c01577,,accepted_with_cautions,True,True,True,,180,121,3,True,True,True,True
doi__10.1021_acsomega.4c09054,,accepted_with_cautions,True,True,True,,63,80,3,True,True,True,True
doi__10.1021_acsomega.5c07214,,accepted_with_cautions,True,True,True,,24,19,3,True,True,True,True
doi__10.1021_acsomega.8b01876,,accepted_with_cautions,True,True,True,,289,31,3,True,True,True,True
doi__10.1021_acsomega.9b02201,,accepted_with_cautions,True,True,True,,201,106,3,True,True,True,True
doi__10.1021_acsomega.9b02278,,accepted_with_cautions,True,True,True,,7,52,4,True,True,True,True
doi__10.1021_acsomega.9b03307,,accepted_with_cautions,True,True,True,,28,16,3,True,True,True,True
doi__10.1021_acssynbio.1c00161,,accepted_with_cautions,True,True,True,,128,74,3,True,True,True,True
doi__10.1021_acssynbio.3c00612,,accepted_with_cautions,True,True,True,,42,20,3,True,True,True,True
doi__10.1021_bi5004102,,accepted_with_cautions,True,True,True,,24,3,3,True,True,True,True
doi__10.1021_cb500080r,,accepted_with_cautions,True,True,True,,382,357,3,True,True,True,True
doi__10.1021_cb500340w,,accepted_with_cautions,True,True,True,,39,118,3,True,True,True,True
doi__10.1021_cb500475y,,accepted_with_cautions,True,True,True,,109,49,4,True,True,True,True
doi__10.1021_cb900194x,,accepted_with_cautions,True,True,True,,51,24,5,True,True,True,True
doi__10.1021_ja402993u,,accepted_with_cautions,True,True,True,,8,5,3,True,True,True,True
doi__10.1021_ja410385c,,accepted_with_cautions,True,True,True,,49,21,4,True,True,True,True
doi__10.1021_mp400747k,,accepted_with_cautions,True,True,True,,7,16,3,True,True,True,True
doi__10.1021_mp5003027,,accepted_with_cautions,True,True,True,,12,36,3,True,True,True,True
doi__10.1021_nl5002313,,accepted_with_cautions,True,True,True,,3,21,3,True,True,True,True
doi__10.1021_np5003548,,accepted_with_cautions,True,True,True,,10,5,1,True,True,True,True
doi__10.1021_np700718p,,accepted_with_cautions,True,True,True,,3,31,2,True,True,True,True
doi__10.1021_ol3022758,,accepted_with_cautions,True,True,True,,8,2,2,True,True,True,True
doi__10.1038_cddis.2013.401,,accepted_with_cautions,True,True,True,,3,26,4,True,True,True,True
doi__10.1038_cddis.2015.118,,accepted_with_cautions,True,True,True,,6,9,3,True,True,True,True
doi__10.1038_hdy.2016.117,,accepted_with_cautions,True,True,True,,304,204,3,True,True,True,True
doi__10.1038_ja.2010.22,,accepted_with_cautions,True,True,True,,29,14,2,True,True,True,True
doi__10.1038_ki.2012.410,10.1038/ki.2012.410,accepted_with_cautions,True,True,True,,25,14,3,True,True,True,True
doi__10.1038_msb4100049,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,8,0,0,True,True,True,True
doi__10.1038_nchembio.215,,accepted_with_cautions,True,True,True,,9,7,1,True,True,True,True
doi__10.1038_ncomms4067,,accepted_with_cautions,True,True,True,,19,8,3,True,True,True,True
doi__10.1038_ncomms6573,,accepted_with_cautions,True,True,True,,27,6,3,True,True,True,True
doi__10.1038_s41392-021-00698-x,,accepted_with_cautions,True,True,True,,81,110,2,True,True,True,True
doi__10.1038_s41396-018-0293-8,,accepted_with_cautions,True,True,True,,38,18,3,True,True,True,True
doi__10.1038_s41421-020-0171-1,,accepted_with_cautions,True,True,True,,12,7,3,True,True,True,True
doi__10.1038_s41422-020-0305-x,,accepted_with_cautions,True,True,True,,251,2,2,True,True,True,True
doi__10.1038_s41422-022-00617-x,,publication_grade,True,True,True,,27,12,1,True,True,True,True
doi__10.1038_s41423-020-0374-2,,publication_grade,True,True,True,,42,5,2,True,True,True,True
doi__10.1038_s41467-017-00419-5,,accepted_with_cautions,True,True,True,,294,112,3,True,True,True,True
doi__10.1038_s41467-018-03746-3,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,26,12,4,True,True,True,True
doi__10.1038_s41467-018-05781-6,10.1038/s41467-018-05781-6,accepted_with_cautions,True,True,True,,60,128,3,True,True,True,True
doi__10.1038_s41467-019-10754-4,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,432,334,1,True,True,True,True
doi__10.1038_s41467-019-11503-3,,accepted_with_cautions,True,True,True,,31,27,4,True,True,True,True
doi__10.1038_s41467-020-16950-x,,accepted_with_cautions,True,True,True,,355,71,3,True,True,True,True
doi__10.1038_s41467-020-17736-x,,accepted_with_cautions,True,True,True,,12,26,3,True,True,True,True
doi__10.1038_s41467-020-17986-9,,accepted_with_cautions,True,True,True,,50,17,3,True,True,True,True
doi__10.1038_s41467-021-21825-w,,accepted_with_cautions,True,True,True,,9,5,3,True,True,True,True
doi__10.1038_s41467-021-27655-0,,accepted_with_cautions,True,True,True,,14,14,3,True,True,True,True
doi__10.1038_s41467-022-29234-3,,accepted_with_cautions,True,True,True,,430,256,4,True,True,True,True
doi__10.1038_s41467-022-33613-1,,accepted_with_cautions,True,True,True,,14,587,4,True,True,True,True
doi__10.1038_s41467-023-36280-y,,accepted_with_cautions,True,True,True,,15,383,3,True,True,True,True
doi__10.1038_s41467-023-36994-z,10.1038/s41467-023-36994-z,accepted_with_cautions,True,True,True,,430,363,1,True,True,True,True
doi__10.1038_s41467-023-37003-z,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,55,29,3,True,True,True,True
doi__10.1038_s41467-023-42387-z,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,305,146,3,True,True,True,True
doi__10.1038_s41467-023-42434-9,10.1038/s41467-023-42434-9,accepted_with_cautions,True,True,True,,354,88,4,True,True,True,True
doi__10.1038_s41467-024-49215-y,,accepted_with_cautions,True,True,True,,99,47,3,True,True,True,True
doi__10.1038_s41467-024-51730-x,,accepted_with_cautions,True,True,True,,45,48,3,True,True,True,True
doi__10.1038_s41467-024-51933-2,,needs_targeted_rework,False,True,False,needs_targeted_rework,385,160,3,True,True,True,True
doi__10.1038_s41467-024-53309-y,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,287,236,3,True,True,True,True
doi__10.1038_s41467-025-60051-6,,accepted_with_cautions,True,True,True,,487,754,3,True,True,True,True
doi__10.1038_s41467-025-62604-1,,accepted_with_cautions,True,True,True,,2,47,3,True,True,True,True
doi__10.1038_s41467-025-64378-y,,accepted_with_cautions,True,True,True,,23,24,3,True,True,True,True
doi__10.1038_s41467-025-65449-w,10.1038/s41467-025-65449-w,accepted_with_cautions,True,True,True,,99,11,3,True,True,True,True
doi__10.1038_s41522-017-0042-1,,accepted_with_cautions,True,True,True,,442,520,3,True,True,True,True
doi__10.1038_s41522-022-00320-0,,accepted_with_cautions,True,True,True,,94,59,4,True,True,True,True
doi__10.1038_s41522-024-00637-y,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,57,12,5,True,True,True,True
doi__10.1038_s41538-021-00109-z,10.1038/s41538-021-00109-z,accepted_with_cautions,True,True,True,,161,88,4,True,True,True,True
doi__10.1038_s41551-024-01201-x,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,78,66,3,True,True,True,True
doi__10.1038_s41557-019-0323-9,10.1038/s41557-019-0323-9,accepted_with_cautions,True,True,True,,9,4,3,True,True,True,True
doi__10.1038_s41557-025-01979-6,,accepted_with_cautions,True,True,True,,81,10,2,True,True,True,True
doi__10.1038_s41586-019-1791-1,,accepted_with_cautions,True,True,True,,71,68,5,True,True,True,True
doi__10.1038_s41586-025-08615-w,,accepted_with_cautions,True,True,True,,10,63,3,True,True,True,True
doi__10.1038_s41598-017-01267-5,10.1038/s41598-017-01267-5,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,1,8,5,True,True,True,True
doi__10.1038_s41598-017-01474-0,,accepted_with_cautions,True,True,True,,211,118,3,True,True,True,True
doi__10.1038_s41598-017-01698-0,10.1038/s41598-017-01698-0,accepted_with_cautions,True,True,True,,236,123,5,True,True,True,True
doi__10.1038_s41598-017-02373-0,,accepted_with_cautions,True,True,True,,118,34,3,True,True,True,True
doi__10.1038_s41598-017-03576-1,,accepted_with_cautions,True,True,True,,324,186,4,True,True,True,True
doi__10.1038_s41598-017-03664-2,,accepted_with_cautions,True,True,True,,302,137,3,True,True,True,True
doi__10.1038_s41598-017-04274-8,,accepted_with_cautions,True,True,True,,36,13,4,True,True,True,True
doi__10.1038_s41598-017-04777-4,10.1038/s41598-017-04777-4,accepted_with_cautions,True,True,True,,4,12,3,True,True,True,True
doi__10.1038_s41598-017-07331-4,,accepted_with_cautions,True,True,True,,60,9,1,True,True,True,True
doi__10.1038_s41598-017-07440-0,,accepted_with_cautions,True,True,True,,315,476,3,True,True,True,True
doi__10.1038_s41598-017-08963-2,10.1038/s41598-017-08963-2,accepted_with_cautions,True,True,True,,3,4,3,True,True,True,True
doi__10.1038_s41598-017-10492-x,10.1038/s41598-017-10492-x,accepted_with_cautions,True,True,True,,44,94,3,True,True,True,True
doi__10.1038_s41598-017-10839-4,,accepted_with_cautions,True,True,True,,77,80,3,True,True,True,True
doi__10.1038_s41598-017-11396-6,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,42,21,3,True,True,True,True
doi__10.1038_s41598-017-11832-7,10.1038/s41598-017-11832-7,accepted_with_cautions,True,True,True,,115,81,3,True,True,True,True
doi__10.1038_s41598-017-13685-6,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,423,262,3,True,True,True,True
doi__10.1038_s41598-017-15436-z,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,39,61,3,True,True,True,True
doi__10.1038_s41598-017-16784-6,,blocked_missing_primary_material,False,True,False,blocked_missing_primary_material,74,161,4,True,True,True,True
doi__10.1038_s41598-018-19434-7,,accepted_with_cautions,True,True,True,,223,281,4,True,True,True,True
doi__10.1038_s41598-018-19669-4,10.1038/s41598-018-19669-4,accepted_with_cautions,True,True,True,,75,20,3,True,True,True,True
doi__10.1038_s41598-018-20002-2,,accepted_with_cautions,True,True,True,,55,43,4,True,True,True,True
doi__10.1038_s41598-018-20912-1,,accepted_with_cautions,True,True,True,,126,49,3,True,True,True,True
doi__10.1038_s41598-018-27225-3,,accepted_with_cautions,True,True,True,,125,54,3,True,True,True,True
doi__10.1038_s41598-018-27231-5,10.1038/s41598-018-27231-5,accepted_with_cautions,True,True,True,,26,42,3,True,True,True,True
doi__10.1038_s41598-018-27417-x,10.1038/s41598-018-27417-x,accepted_with_cautions,True,True,True,,13,6,3,True,True,True,True
